Solvent_SMILES,Solute_SMILES
Cc1nnc(C)o1,CCCCCCC
Cc1nnc(C)o1,CCCCCCCC
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,CCCCO
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,CCC(C)=O
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,Cc1ccccc1C
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,Cc1ccccc1C
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,Cc1ccccc1C
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,Cc1cccc(C)c1
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,Cc1cccc(C)c1
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,Cc1ccc(C)cc1
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,Cc1ccc(C)cc1
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,Cc1ccc(C)cc1
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,CCc1ccccc1
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,CCc1ccccc1
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,c1ccccc1
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,c1ccccc1
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,CCCCCl
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,C[C@H]1CCCC[C@H]1C
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,C[C@H]1CCCC[C@@H]1C
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,CCC1CCCCC1
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,CC1CCCCC1
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,C1CCCCC1
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,CCCCCCC
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,CCC(C)CC(C)(C)C
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,CCCC(C)(C)C(C)C
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,CCCCCC
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,CCCCCCCCC
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,CCCCCCCC
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,Cc1ccccc1
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,Cc1ccccc1
CCCCCCOC(=O)c1cccc(C(=O)OCCCCCC)c1,Cc1ccccc1
C=CC(=C)C,O
C=CC(=C)C,O
C=CC=C,Cc1ccccc1C
C=CC=C,Cc1ccccc1C
C=CC=C,Cc1ccccc1C
C=CC=C,Cc1ccccc1C
C=CC=C,Cc1ccccc1C
C=CC=C,Cc1cccc(C)c1
C=CC=C,Cc1cccc(C)c1
C=CC=C,Cc1cccc(C)c1
C=CC=C,Cc1cccc(C)c1
C=CC=C,Cc1ccc(C)cc1
C=CC=C,Cc1ccc(C)cc1
C=CC=C,Cc1ccc(C)cc1
C=CC=C,Cc1ccc(C)cc1
C=CC=C,Cc1ccc(C)cc1
C=CC=C,c1ccccc1
C=CC=C,C=Cc1ccccc1
C=CC=C,C=Cc1ccccc1
C=CC=C,C=Cc1ccccc1
C=CC=C,Cc1ccccc1
C=CC=C,Cc1ccccc1
C=CC=C,Cc1ccccc1
C=CC=C,Cc1ccccc1
O=C1OCC(CCl)O1,CCCCO
O=C1OCC(CCl)O1,CCCCO
O=C1OCC(CCl)O1,CCCCO
O=C1OCC(CCl)O1,CCCO
O=C1OCC(CCl)O1,CCCO
O=C1OCC(CCl)O1,CCCO
O=C1OCC(CCl)O1,CCCO
O=C1OCC(CCl)O1,CCCO
O=C1OCC(CCl)O1,CCC(C)=O
O=C1OCC(CCl)O1,CCC(C)=O
O=C1OCC(CCl)O1,CCC(C)=O
O=C1OCC(CCl)O1,CC(=O)CC(C)C
O=C1OCC(CCl)O1,CC(=O)CC(C)C
O=C1OCC(CCl)O1,CC(=O)CC(C)C
O=C1OCC(CCl)O1,CC(=O)CC(C)C
O=C1OCC(CCl)O1,CCCC(C)=O
O=C1OCC(CCl)O1,CCCC(C)=O
O=C1OCC(CCl)O1,CCCC(C)=O
O=C1OCC(CCl)O1,CCCC(C)=O
O=C1OCC(CCl)O1,CC(C)=O
O=C1OCC(CCl)O1,CC(C)=O
