ID,Type,Compound_1,Compound_2,Compound_3,T_K,P_kPa,x_1,x_2,y_1,y_2
6,Isobaric,Acetone,Chloroform,Benzene,340.6,101.325,0.145,0.574,0.17,0.642
6,Isobaric,Acetone,Chloroform,Benzene,340.74,101.325,0.164,0.544,0.199,0.6
6,Isobaric,Acetone,Chloroform,Benzene,342.1,101.325,0.164,0.422,0.236,0.466
6,Isobaric,Acetone,Chloroform,Benzene,342.89,101.325,0.167,0.325,0.268,0.355
6,Isobaric,Acetone,Chloroform,Benzene,343.57,101.325,0.172,0.192,0.313,0.202
6,Isobaric,Acetone,Chloroform,Benzene,338.7,101.325,0.18,0.682,0.18,0.721
6,Isobaric,Acetone,Chloroform,Benzene,339.25,101.325,0.191,0.635,0.199,0.685
6,Isobaric,Acetone,Chloroform,Benzene,342.87,101.325,0.194,0.21,0.338,0.218
6,Isobaric,Acetone,Chloroform,Benzene,339.44,101.325,0.2,0.615,0.214,0.662
6,Isobaric,Acetone,Chloroform,Benzene,339.92,101.325,0.203,0.57,0.23,0.608
6,Isobaric,Acetone,Chloroform,Benzene,339.76,101.325,0.221,0.564,0.253,0.599
6,Isobaric,Acetone,Chloroform,Benzene,339.35,101.325,0.226,0.596,0.246,0.632
6,Isobaric,Acetone,Chloroform,Benzene,341.38,101.325,0.235,0.335,0.345,0.339
6,Isobaric,Acetone,Chloroform,Benzene,341.61,101.325,0.241,0.256,0.38,0.25
6,Isobaric,Acetone,Chloroform,Benzene,341.67,101.325,0.251,0.099,0.438,0.09
6,Isobaric,Acetone,Chloroform,Benzene,341.22,101.325,0.265,0.179,0.429,0.165
6,Isobaric,Acetone,Chloroform,Benzene,340.53,101.325,0.274,0.359,0.38,0.352
6,Isobaric,Acetone,Chloroform,Benzene,340.1,101.325,0.276,0.434,0.356,0.435
6,Isobaric,Acetone,Chloroform,Benzene,339.54,101.325,0.293,0.488,0.354,0.489
6,Isobaric,Acetone,Chloroform,Benzene,339.24,101.325,0.302,0.511,0.354,0.51
6,Isobaric,Acetone,Chloroform,Benzene,339.95,101.325,0.313,0.318,0.435,0.295
6,Isobaric,Acetone,Chloroform,Benzene,338.26,101.325,0.339,0.591,0.36,0.59
