Compound_1,Compound_2,N_points,p_res_avg,y_1_res_avg,y_2_res_avg,is_consistent
"2,2,4-TRIMETHYLPENTANE","1,1,1-TRICHLOROETHANE",15,0.008280253422679216,0.0054236485302761265,0.013634625653691763,False
"2,2,4-TRIMETHYLPENTANE","1,1,2,2-TETRACHLOROETHANE",16,0.02407697433559141,0.027684101581121067,0.004173815462841085,False
"2,2,4-TRIMETHYLPENTANE","1,2-DICHLOROETHANE",17,0.004302978670970422,0.005794882635008689,0.008366700937997561,True
"2,2,4-TRIMETHYLPENTANE",CHLOROBENZENE,11,0.05883680798515121,0.07323628742443831,0.014399479439287089,False
"2,2,4-TRIMETHYLPENTANE",CHLOROBENZENE,13,0.06626455249054247,0.08077284838825169,0.015378043191931551,False
"2,2,4-TRIMETHYLPENTANE",TETRACHLOROETHYLENE,15,0.00525314056511047,0.01074890331221523,0.0056523342182225505,False
"2,2,4-TRIMETHYLPENTANE",TRICHLOROETHYLENE,13,0.0028249371445481296,0.006667633210046698,0.008775936779828205,True
"2,3-DIMETHYL-2-BUTENE",CARBON TETRACHLORIDE,12,0.00104046969913767,0.005737757899434116,0.00489514221039146,True
"2,6-DIMETHYLPYRIDINE",WATER,17,0.05723204112858765,0.02228536342532693,0.0644325271137457,False
"2-BROMO-2-CHLORO-1,1,1-TRIFLUOROETHANE","1,1,1-TRICHLOROETHANE",20,0.004529101538575772,0.008444889957019587,0.003930833533184505,True
